NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,O,55.00,136.19
KL1771,AMS,BER,O,55.00,148.89
KL1771,AMS,BER,S,357.00,136.19
KL1771,AMS,BER,S,357.00,148.89
KL1771,AMS,BER,T,68.00,136.19
KL1771,AMS,BER,T,68.00,148.89
KL1771,AMS,BER,Y,457.00,136.19
KL1771,AMS,BER,Y,457.00,148.89
KL1771,AMS,BER,Z,654.00,136.19
KL1771,AMS,BER,Z,654.00,148.89
KL2058,AMS,EWR,A,4539.00,197.52
KL2058,AMS,EWR,A,4539.00,210.22
KL2058,AMS,EWR,B,2100.00,197.52
KL2058,AMS,EWR,B,2100.00,210.22
KL2058,AMS,EWR,B,2150.00,210.22
KL2058,AMS,EWR,B,2235.00,197.52
KL2058,AMS,EWR,B,2235.00,210.22
KL2058,AMS,EWR,B,2285.00,210.22
KL2058,AMS,EWR,B,2300.00,210.22
KL2058,AMS,EWR,B,2355.00,197.52
KL2058,AMS,EWR,B,2355.00,210.22
KL2058,AMS,EWR,B,2405.00,210.22
KL2058,AMS,EWR,B,2435.00,210.22
KL2058,AMS,EWR,B,2445.00,197.52
KL2058,AMS,EWR,B,2445.00,210.22
KL2058,AMS,EWR,B,2495.00,210.22
KL2058,AMS,EWR,B,2555.00,210.22
KL2058,AMS,EWR,B,2645.00,210.22
KL2058,AMS,EWR,B,2835.00,197.52
KL2058,AMS,EWR,B,2835.00,210.22
KL2058,AMS,EWR,B,2885.00,210.22
KL2058,AMS,EWR,B,2955.00,197.52
KL2058,AMS,EWR,B,2955.00,210.22
KL2058,AMS,EWR,B,3005.00,210.22
KL2058,AMS,EWR,B,3035.00,210.22
KL2058,AMS,EWR,B,3045.00,197.52
KL2058,AMS,EWR,B,3045.00,210.22
KL2058,AMS,EWR,B,3095.00,210.22
KL2058,AMS,EWR,B,3155.00,210.22
KL2058,AMS,EWR,B,3245.00,210.22
KL2058,AMS,EWR,C,7430.00,197.52
KL2058,AMS,EWR,C,7430.00,210.22
KL2058,AMS,EWR,C,7680.00,197.52
KL2058,AMS,EWR,C,7680.00,210.22
KL2058,AMS,EWR,C,7830.00,197.52
KL2058,AMS,EWR,C,7830.00,210.22
KL2058,AMS,EWR,C,8080.00,197.52
KL2058,AMS,EWR,C,8080.00,210.22
KL2058,AMS,EWR,C,8155.00,197.52
KL2058,AMS,EWR,C,8155.00,210.22
KL2058,AMS,EWR,C,8405.00,197.52
KL2058,AMS,EWR,C,8405.00,210.22
KL2058,AMS,EWR,C,8555.00,197.52
KL2058,AMS,EWR,C,8555.00,210.22
KL2058,AMS,EWR,C,8805.00,197.52
KL2058,AMS,EWR,C,8805.00,210.22
KL2058,AMS,EWR,D,5180.00,197.52
KL2058,AMS,EWR,D,5180.00,210.22
KL2058,AMS,EWR,D,5430.00,197.52
KL2058,AMS,EWR,D,5430.00,210.22
KL2058,AMS,EWR,D,5580.00,197.52
KL2058,AMS,EWR,D,5580.00,210.22
KL2058,AMS,EWR,D,5830.00,197.52
KL2058,AMS,EWR,D,5830.00,210.22
KL2058,AMS,EWR,E,3685.00,197.52
KL2058,AMS,EWR,E,3685.00,210.22
KL2058,AMS,EWR,E,3750.00,210.22
KL2058,AMS,EWR,E,3805.00,197.52
KL2058,AMS,EWR,E,3805.00,210.22
KL2058,AMS,EWR,E,3870.00,210.22
KL2058,AMS,EWR,E,3895.00,197.52
KL2058,AMS,EWR,E,3895.00,210.22
KL2058,AMS,EWR,E,3945.00,210.22
KL2058,AMS,EWR,E,3960.00,210.22
KL2058,AMS,EWR,E,4065.00,210.22
KL2058,AMS,EWR,E,4155.00,210.22
KL2058,AMS,EWR,F,16380.00,197.52
